DataName,	PaaSize,		AlphabetSize,	MinBlocks,	NCThreshold,	RunningTime,	AvgIntraDistance,	AvgStdDev,	AvgMinInterDistance,	AvgSilhouetteCoefficient,	TotalRules,	TotalPoints,	TotalSubTrajectories
SFO_1_1.txt,1,100,5,1,17.312,0.07119935028803405,0.08099089899184503,0.26242248795595835,0.6534636516429354,222,302428,1299
SFO_1_1.txt,1,150,5,1,21.387,0.05294203241622262,0.054009661841392116,0.2392102804997795,0.6845012571606137,227,302428,1166
SFO_1_1.txt,1,200,5,1,24.115,0.03616217258173453,0.03140610640865826,0.18276975574070714,0.7585723480885705,228,302428,1064
SFO_1_1.txt,1,250,5,1,25.613,0.028889423059397533,0.029774695132797055,0.18290852592110077,0.7946685599426473,195,302428,953
SFO_1_1.txt,1,300,5,1,26.874,0.026180222498842495,0.03621979756574025,0.17859459722474996,0.7995105943316698,182,302428,941
SFO_1_1.txt,1,350,5,1,28.094,0.020962446772623603,0.020887462661540235,0.1454996744762842,0.8330579025500935,151,302428,681
SFO_1_1.txt,1,400,5,1,34.208,0.03864580122228947,0.10714254058854603,0.19664252405007357,0.8267093875787487,123,302428,562
SFO_1_1.txt,1,450,5,1,35.052,0.023857348818819284,0.08443093982768876,0.19150866930941499,0.8540097639049561,104,302428,497
SFO_1_1.txt,1,500,5,1,34.601,0.011111064438868891,0.013454178572571062,0.16602332958478225,0.9180744025486774,93,302428,409
SFO_1_1.txt,1,50,5,1,8.865,0.1475508490919206,0.30063786057577296,0.36862289230458223,0.5040770782267585,177,302428,1467
